 "Material" , "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStrain_pct" , "StressRatio" , "LoadCycle_time" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "0.74" , "0.10" , "44730.00" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "1.26" , "0.10" , "5024.00" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "1.70" , "0.10" , "657.00" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "1.40" , "0.10" , "841.00" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "0.69" , "0.10" , "119853.00" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "1.12" , "0.10" , "12279.00" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "1.45" , "0.10" , "1360.00" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "1.44" , "0.10" , "1424.00" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "1.93" , "0.10" , "187.00" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "1.40" , "0.10" , "1875.00" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "1.87" , "0.10" , "269.00" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "1.87" , "0.10" , "343.00" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "0.56" , "0.10" , "585178.00" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "0.73" , "0.10" , "73139.00" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "0.94" , "0.10" , "7623.00" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "1.10" , "0.10" , "8671.00" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "1.55" , "0.10" , "1414.00" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "0.99" , "0.10" , "17152.00" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "1.05" , "0.10" , "27183.00" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "0.83" , "0.10" , "278576.00" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "0.78" , "0.10" , "324779.00" ,
